requirement_id,requirement_summary,source_section,response_location,required_artifact,page_or_format_limit,evidence_needed,compliance_risk,review_status,human_review_note
CM-011,"Volume 1 must explain how draft job aids will be reviewed","Synthetic Section L.3","Volume 1","Job-aid review explanation","Subject to 12-page Volume 1 limit","Draft review-process description","Accessibility review consideration was added by AMD-005 but no standard or scoring method is supplied","Needs qualified review","Technical SME should review job-aid approach and preserve undefined accessibility standard."
CM-012,"Volume 1 must identify two synthetic delivery risks and proposed mitigations","Synthetic Section L.3","Volume 1","Risk and mitigation discussion","Subject to 12-page Volume 1 limit","Two source-supported delivery risks and proposed mitigations","Risk selection and mitigation adequacy require human review","Needs qualified review","Proposal lead and technical SME should confirm the risks are source-supported and not overstated."
CM-013,"Volume 1 must cross-reference the requirements in Synthetic Attachment A","Synthetic Section L.3; Synthetic Attachment A","Volume 1","Attachment A cross-reference","Subject to 12-page Volume 1 limit","Cross-reference table or narrative linkage to Attachment A deliverables","Cross-reference completeness may be incomplete without human review","Needs qualified review","Proposal lead should check each Attachment A deliverable is addressed."
CM-014,"Volume 2 must include an organization chart","Synthetic Section L.4","Volume 2","Organization chart","Subject to 8-page Volume 2 limit","Organization chart draft","Role clarity is an evaluation topic but no weighting is supplied","Needs qualified review","Proposal lead should confirm chart aligns with staffing narrative."
CM-015,"Volume 2 must include a responsibility narrative","Synthetic Section L.4","Volume 2","Responsibility narrative","Subject to 8-page Volume 2 limit","Narrative describing role responsibilities","Owner and responsibility claims require human confirmation","Needs qualified review","Proposal lead should confirm proposed responsibilities."
CM-016,"Volume 2 must include a staffing table by fictional labor role","Synthetic Section L.4","Volume 2","Staffing table","Subject to 8-page Volume 2 limit; tables may use readable 9-point text","Staffing table by labor role","Labor-role assumptions require human confirmation","Needs qualified review","Proposal lead should coordinate; pricing lead may need the staffing table for workbook consistency."
CM-017,"Volume 2 must include resumes for proposed program lead and facilitation lead","Synthetic Section L.4; Synthetic Attachment B","Volume 2 / Attachment B","Two required resumes","2 pages each per Synthetic L.2 and Attachment B","Resume drafts for program lead and facilitation lead","Attachment B upload packaging remains unresolved","Needs qualified review","Proposal operations should confirm placement; proposal lead should confirm resume content."
CM-018,"Transition schedule must cover first 45 synthetic calendar days","Synthetic Section L.4; AMD-002","Volume 2","Transition schedule","Amended from first 30 to first 45 synthetic calendar days","Transition schedule reflecting amended 45-day period","Draft must not preserve the original 30-day requirement as current","Needs qualified review","Proposal lead should confirm the amended schedule is reflected."
CM-019,"Response must describe how participant information will be handled without including live personal data","Synthetic Section L.5; AMD-004; QA-004; Evaluation Factors","Not specified","Participant information handling description","No security standard or data-classification definition supplied","Description of handling practices that excludes live personal data","No specific security standard is named; do not invent one","Needs qualified review","Security reviewer should review the description without treating this draft as a cybersecurity conclusion."
CM-020,"Exceptions to fictional terms must be identified in a separate assumptions file if exceptions are taken","Synthetic Section L.5; Submission Instructions - Required Files; QA-002; Deliverables D-07","Separate assumptions file","Exceptions and assumptions file","Required only if exceptions are taken; page-limit treatment not specified","Assumptions file if exceptions exist or confirmation that none are being taken","Whether the assumptions file counts toward a page limit is unanswered","Needs qualified review","Contracts reviewer should review exception handling and unanswered page-limit treatment."
CM-021,"Response must address discovery summary deliverable","Synthetic Attachment A; Deliverables D-01","Volume 1","Discovery summary coverage","Subject to Volume 1 limits if addressed there","Content cross-reference showing discovery summary is addressed","Attachment A coverage may be incomplete without human review","Needs qualified review","Proposal lead should confirm response location and cross-reference."
CM-022,"Response must address workflow inventory deliverable","Synthetic Attachment A; Deliverables D-01","Volume 1","Workflow inventory coverage","Subject to Volume 1 limits if addressed there","Content cross-reference showing workflow inventory is addressed","Attachment A coverage may be incomplete without human review","Needs qualified review","Proposal lead should confirm response location and cross-reference."
CM-023,"Response must address workshop plan deliverable","Synthetic Attachment A; Synthetic Section L.3","Volume 1","Workshop plan coverage","Subject to Volume 1 limits","Workshop plan and cross-reference","Potential duplicate with L.3 sample workshop plan; reviewer should confirm whether one section can satisfy both","Needs qualified review","Proposal lead should align Attachment A and L.3 coverage."
CM-024,"Response must address draft job-aid set deliverable","Synthetic Attachment A; Synthetic Section L.3; AMD-005","Volume 1","Draft job-aid set coverage","Subject to Volume 1 limits","Job-aid approach and review-process cross-reference","Accessibility consideration is added but no standard is supplied","Needs qualified review","Technical SME should review job-aid and accessibility treatment."
CM-025,"Response must address review log deliverable","Synthetic Attachment A","Volume 1","Review log coverage","Subject to selected response-location limits","Review log approach or cross-reference","Exact response location is not specified in the source packet","Needs qualified review","Proposal lead should decide where review-log coverage belongs."
CM-026,"Response must address final enablement package deliverable","Synthetic Attachment A","Volume 1","Final enablement package coverage","Subject to selected response-location limits","Final package description or cross-reference","Exact response location is not specified in the source packet","Needs qualified review","Proposal lead should decide where final-package coverage belongs."
CM-027,"Each resume must include proposed role, synthetic experience summary, relevant skills, and availability statement","Synthetic Attachment B","Attachment B","Resume content","2 pages each","Resume content check against required fields","Resume acceptability and experience relevance require human review","Needs qualified review","Proposal lead should confirm content; proposal operations should confirm page limit."
CM-028,"Responses must be submitted through the fictional training portal","Synthetic RFP Cover Information; Submission Instructions - Submission Portal","Submission portal","Submitted response package","Response deadline: 2031-04-22 at 2:00 p.m. synthetic local time","Portal submission plan and final upload check","Email submission is not identified as accepted; portal constraints are incomplete","Needs qualified review","Proposal operations should coordinate portal submission plan and preserve missing file-size limit."
CM-029,"Questions are due by 2031-04-08 at 12:00 p.m. synthetic local time","Synthetic RFP Cover Information","Question process","Question list, if needed","Source deadline only","Question log review before source deadline","No internal planning date is supplied","Not reviewed","Proposal lead should decide whether any unresolved issues require questions."
CM-030,"Volume 1 file must follow required naming pattern","Submission Instructions - Required Files","Submission package","Volume 1 file","SYN-RFP-2031-007_Vol1_Technical_[OfferorName]; extension not specified","File-name check before upload","File extension is not specified","Needs qualified review","Proposal operations should confirm naming and extension."
CM-031,"Volume 2 file must follow required naming pattern","Submission Instructions - Required Files","Submission package","Volume 2 file","SYN-RFP-2031-007_Vol2_Management_[OfferorName]; extension not specified","File-name check before upload","File extension is not specified","Needs qualified review","Proposal operations should confirm naming and extension."
CM-032,"Volume 3 price workbook must follow required naming pattern and workbook format","Submission Instructions - Required Files; QA-005","Submission package","Synthetic Price Workbook","SYN-RFP-2031-007_Vol3_Price_[OfferorName].xlsx","Completed workbook and file-name check","Workbook template may be provided later but no template is included in source packet","Needs qualified review","Pricing lead should own workbook completeness; no pricing recommendation is generated."
CM-033,"Exceptions and assumptions file must follow required naming pattern if used","Submission Instructions - Required Files; Synthetic Section L.5","Submission package","Assumptions file if exceptions are taken","SYN-RFP-2031-007_Assumptions_[OfferorName]; extension not specified","File-name check if assumptions file is used","Required only if exceptions are taken; extension and page-limit treatment are not specified","Needs qualified review","Contracts reviewer should confirm whether exceptions are taken and how to package the file."
CM-034,"Evaluation factors include understanding, feasibility, role clarity, relevant experience, and price workbook completeness","Synthetic Section M.1; Evaluation Factors","Response strategy","Evaluation alignment review","No weights, points, ranking, or adjectival definitions provided","Reviewer check that response addresses stated evaluation topics","Evaluation method is incomplete; do not infer weights or final scoring","Needs qualified review","Proposal lead should use this as a review prompt, not a scoring conclusion."
