task_id,requirement_id,task_summary,proposed_owner_role,consulted_role,due_date,due_date_status,dependency,review_gate,status,routing_note
RT-011,CM-011,"Draft job-aid review explanation",technical_sme,proposal_lead,,"Needs human planning","Job-aid approach and accessibility review question","Technical SME confirms approach and undefined accessibility standard is preserved","Not started","AMD-005 adds accessibility as a review consideration but no standard is supplied."
RT-012,CM-012,"Identify two synthetic delivery risks and proposed mitigations",proposal_lead,technical_sme,,"Needs human planning","Risk inputs from technical approach and management plan","Proposal lead confirms risks are source-supported and technical SME confirms feasibility","Not started","Risk selection should stay source-supported and reviewable."
RT-013,CM-013,"Build Attachment A cross-reference for Volume 1",proposal_lead,technical_sme,,"Needs human planning","Attachment A deliverable mapping","Proposal lead confirms each Attachment A item is traceable","Not started","Cross-reference completeness requires human review."
RT-014,CM-014,"Create organization chart for Volume 2",proposal_lead,proposal_operations,,"Needs human planning","Staffing plan and role decisions","Proposal lead confirms role structure","Not started","Role clarity is a stated evaluation topic, but no weights are supplied."
RT-015,CM-015,"Draft responsibility narrative",proposal_lead,technical_sme,,"Needs human planning","Organization chart and staffing assumptions","Proposal lead confirms ownership narrative and technical SME confirms technical role accuracy","Not started","Proposed responsibilities require human confirmation."
RT-016,CM-016,"Prepare staffing table by fictional labor role",proposal_lead,pricing_lead,,"Needs human planning","Labor-role assumptions and price workbook needs","Proposal lead confirms staffing table and pricing lead checks workbook consistency","Not started","Pricing lead is consulted only for workbook consistency; no pricing conclusion is generated."
RT-017,CM-017,"Prepare required resumes for program lead and facilitation lead",proposal_lead,proposal_operations,,"Needs human planning","Resume source material and Attachment B packaging decision","Proposal lead confirms resume content and proposal operations confirms format/page limits","Not started","Attachment B packaging remains unresolved."
RT-018,CM-018,"Revise transition schedule to cover first 45 synthetic calendar days",proposal_lead,proposal_operations,,"Needs human planning","Transition plan draft","Proposal lead confirms amended 45-day schedule is used","Not started","AMD-002 changes the original 30-day schedule to 45 days."
RT-019,CM-019,"Draft participant-information handling description without live personal data",security_reviewer,proposal_lead,,"Needs human planning","Handling-practices draft and source caveats","Security reviewer confirms the question is reviewed without inventing a standard","Not started","AMD-004 adds no-live-personal-data language; QA-004 names no specific standard."
RT-020,CM-020,"Resolve exceptions and assumptions file treatment",contracts_reviewer,proposal_operations,,"Needs human planning","Decision on whether exceptions are taken","Contracts reviewer confirms exception handling and proposal operations confirms package treatment","Not started","QA-002 is unanswered; page-limit treatment is unresolved."
RT-021,CM-021,"Confirm discovery summary coverage",proposal_lead,technical_sme,,"Needs human planning","Volume 1 draft and Attachment A mapping","Proposal lead confirms response coverage","Not started","Attachment A deliverable coverage may be incomplete without review."
RT-022,CM-022,"Confirm workflow inventory coverage",proposal_lead,technical_sme,,"Needs human planning","Volume 1 draft and Attachment A mapping","Proposal lead confirms response coverage","Not started","Attachment A deliverable coverage may be incomplete without review."
RT-023,CM-023,"Align workshop plan coverage across L.3 and Attachment A",proposal_lead,technical_sme,,"Needs human planning","Volume 1 workshop plan and Attachment A mapping","Proposal lead confirms no duplicate or missing coverage","Not started","Reviewer should confirm whether one workshop-plan section satisfies both source references."
RT-024,CM-024,"Confirm draft job-aid set and accessibility coverage",technical_sme,proposal_lead,,"Needs human planning","Job-aid section and accessibility review notes","Technical SME confirms coverage while preserving undefined standard","Not started","Accessibility is a review consideration but no scoring method or standard is supplied."
RT-025,CM-025,"Decide response location for review log coverage",proposal_lead,technical_sme,,"Needs human planning","Attachment A mapping and response outline","Proposal lead confirms selected response location","Not started","Source does not specify the exact response location for review log coverage."
RT-026,CM-026,"Decide response location for final enablement package coverage",proposal_lead,technical_sme,,"Needs human planning","Attachment A mapping and response outline","Proposal lead confirms selected response location","Not started","Source does not specify the exact response location for final enablement package coverage."
RT-027,CM-027,"Check resume content against Attachment B fields",proposal_lead,proposal_operations,,"Needs human planning","Program lead and facilitation lead resumes","Proposal lead confirms content and proposal operations confirms format","Not started","Each resume needs role, experience summary, relevant skills, and availability statement."
RT-028,CM-028,"Coordinate fictional portal submission plan",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final package and portal access readiness","Proposal lead authorizes final package readiness for training exercise","Not started","Email is not identified as accepted and file-size limits are not supplied."
RT-029,CM-029,"Review unresolved questions before the questions deadline",proposal_lead,contracts_reviewer,2031-04-08 12:00 synthetic local time,"Source questions deadline; not an internal draft date","Open ambiguity list from matrix","Proposal lead confirms whether any questions need escalation before deadline","Not started","Question deadline is source-provided; internal planning date is not supplied."
RT-030,CM-030,"Check Volume 1 file naming",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final Volume 1 file","Proposal operations confirms file name before upload","Not started","Extension is not specified and needs human confirmation."
RT-031,CM-031,"Check Volume 2 file naming",proposal_operations,proposal_lead,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Final Volume 2 file","Proposal operations confirms file name before upload","Not started","Extension is not specified and needs human confirmation."
RT-032,CM-032,"Coordinate synthetic price workbook completion",pricing_lead,proposal_lead,,"Needs human planning","Price workbook source instructions and any later template","Pricing lead confirms workbook completeness question has been reviewed","Not started","QA-005 says a template may be provided later but none is included; no pricing recommendation is generated."
RT-033,CM-033,"Check assumptions file naming if exceptions are taken",proposal_operations,contracts_reviewer,2031-04-22 14:00 synthetic local time,"Source response deadline; not an internal draft date","Contracts decision on exceptions and final assumptions file if used","Contracts reviewer confirms exception handling; proposal operations confirms filename","Not started","Required only if exceptions are taken; extension and page-limit treatment remain unclear."
RT-034,CM-034,"Use stated evaluation factors as review prompts",proposal_lead,technical_sme,,"Needs human planning","Draft volumes and evaluation-factor checklist","Proposal lead confirms alignment without implying scoring or certification","Not started","The packet provides no weights, points, ranking, or adjectival definitions; technical SME is consulted only for technical-content alignment."
